date,DSE,Bank,Cement,Ceramics,Engineering,NBFI,Food,Fuel,Insurance,IT,Jute,Miscellaneous,Mutual_Fund,Paper,Pharmaceuticals,Service_Real_Estate,Tannery,Textile,Travel_Leisure,Telecommunication,Total Volume,DSEX
2/3/2025,3539.83,3243.28,2252.11,657.185,1748.84,1231.52,18704.9,1997.57,3159.46,1524.83,5677.24,3949.44,492.87,171.043,4280.54,2378.17,2398.38,1774.29,1266.29,4382.81,183791148,5145.84493
2/2/2025,3525.68,3220.37,2253.79,662.203,1738.82,1222.4,18696.8,1993.72,3130.29,1536.25,5695.6,3954.86,486.071,166.812,4268.32,2385.02,2362.76,1763.95,1267.54,4385.04,153870645,5126.14893
1/30/2025,3515.92,3213.24,2259.71,645.359,1713.72,1220.15,18753.6,1983.65,3128.31,1526.79,5804.43,3959.9,484.882,165.234,4261.7,2320.98,2396.76,1740.33,1280.65,4370.12,149195074,5112.89548
1/29/2025,3516.91,3184.46,2275.7,647.276,1733.81,1226.86,18697.4,1979.15,3136,1525.74,5800.48,3964.88,490.158,162.468,4284.72,2338.5,2392.62,1771.19,1297.5,4331.05,116051651,5112.51123
1/28/2025,3527.35,3187.37,2305.8,667.698,1749.65,1241.55,18547.7,1976.78,3136.69,1560.21,6053.66,3971.41,491.505,163.161,4310.73,2352.41,2405.61,1783.87,1299.98,4315.89,124853520,5126.42229
1/27/2025,3528.3,3194.22,2317.53,651.971,1757.04,1239.8,18536.1,1974.62,3111.09,1596.6,6177.06,3983.71,491.826,161.344,4307.96,2349.21,2439.4,1770.92,1307.73,4306.01,122282042,5130.05959
1/26/2025,3530.77,3199.17,2299.47,649.014,1763.61,1239.05,18517.5,1978.7,3122.45,1596.71,6198.22,3988.68,494.573,158.459,4324.62,2314.05,2436.62,1756.55,1295.12,4288.64,121734913,5132.3861
1/23/2025,3555.89,3215.23,2315.6,664.794,1788.37,1250.31,18713.5,1985.69,3158.28,1595.2,6301.55,3987.66,501.023,157.967,4374.2,2297.15,2450.23,1749.88,1295.84,4343.03,134503678,5166.5309
1/22/2025,3561.71,3216.45,2310.23,666.566,1804.18,1255.55,18710.5,1989.22,3185.63,1611.17,6345.4,3986.37,502.737,159.61,4387.66,2323.89,2461.14,1720.85,1313.54,4371.25,126272928,5177.24361
1/21/2025,3576.66,3222.67,2325.96,676.497,1819.52,1265.64,18796.8,1988.91,3212.91,1597.03,6311.65,3994.33,506.614,159.177,4419.06,2368.01,2461.48,1723.07,1324.34,4380.91,178735382,5202.61589
1/20/2025,3571.11,3218.29,2308.98,667.091,1810.28,1262.22,18873.1,1991.76,3226.29,1588.05,6345.2,4010.66,502.416,157.752,4408.68,2332.15,2491.78,1721.07,1274.46,4360.69,140088068,5195.82996
1/19/2025,3540.06,3195.86,2284.07,646.696,1771.1,1248.31,18759.7,1985.73,3234.25,1552.36,6232.18,3983.8,502.206,153.21,4353.48,2274.84,2432,1708.15,1265.88,4348.91,132771209,5145.07848
1/16/2025,3532.07,3200.2,2287.44,649.06,1768.33,1252.91,18750.7,1994.4,3158.56,1524.64,6282.51,3975.09,505.947,150.024,4335.74,2259.29,2422.81,1700.13,1267.78,4326.76,148322427,5133.92378
1/15/2025,3541.23,3206.62,2301.11,656.257,1769.36,1261.81,18973,1994.72,3119.83,1533.09,6348.83,3985.67,509.2,153.349,4352.9,2274.25,2434.48,1704.42,1271.87,4314.07,169062725,5142.51908
1/14/2025,3546.09,3218.72,2302.4,637.577,1756.46,1264.89,19047.6,1993.2,3145.93,1537.27,6464.08,4010.73,511.198,150.848,4342.33,2290.01,2433.62,1695.23,1269.95,4354.66,135027456,5150.86667
1/13/2025,3546.3,3226.2,2303.92,624.667,1726.31,1270.58,18931.5,1995.11,3157.53,1534.64,6256.92,4003.62,512.108,147.027,4348.68,2232.67,2409.17,1690.43,1268.89,4422.99,133306284,5151.87693
